DE;EN
TOLERANZ_2_HZ2M;TOLERANCE_2_HZ2M
TOLERANZ_2_HZ1P;TOLERANCE_2_HZ1P
TOLERANZ_2_HZ1M;TOLERANCE_2_HZ1M
TOLERANZINT;TOLERANCEINT
TOLERANZINT2;TOLERANCEINT2
TOLERANZ;TOLERANCE
TOLERANZ2;TOLERANCE2
TMP_TIME;TMP_TIME
TMP_TIME2;TMP_TIME2
TMP_TEILEGEWICHT;TMP_PARTWEIGHT
TMP_TAKTZEIT_SOLL;TMP_CYCLETIME_STD
TMP_TAKTZEIT_MITTEL_IST;TMP_CYCLETIME_AVERAGE
TMP_TAKTZEIT;TMP_CYCLETIME
TMP_STATISTIK;TMP_STATISTICS
TMP_STARTTERMIN;TMP_START_DATE
TMP_STARTDATUMZEIT;TMP_STARTDATE
TMP_SOLLAUFZEIT;TMP_STDRUNTIME
TMP_RUESTSTART;TMP_SETUPSTART
TMP_RUESTENDE;TMP_SETUPEND
TMP_KARTONNUMMERN;TMP_CARTONNUMBERS
TMP_ISTLAUFZEIT;TMP_CURRRUNTIME
TMP_ENDEREPINT;TMP_ENDREPINT
TMP_ENDDATUMZEIT;TMP_ENDDATE
TMP_DATUMZEIT;TMP_DATETIME
TMP_DATUM;TMP_DATE
TMP_ANGUSSGEWICHT;TMP_SETUPWEIGHT
TMP_ANFANGREPINT;TMP_STARTREPINT
TMPSCHUSS;TMPCYCLE
TERMIN_RECHNERISCH;DATE_CALCULATED
TERMINIERT;TERMINATED
TERMINIEREN_ERPSTART;TIMING_ERPSTART
TERMIN;DEADLINE
TERMIN3_PLAN;DATE3_SCHED
TERMIN3;DATE3
TERMIN2_PLAN;DATE2_SCHED
TERMIN2;DATE2
TERMIN1_PLAN;DATE1_SCHED
TERMIN1;DATE1
TEMP_WKZ;TEMP_MOLD
TEMP_PERSONALBEDARF;TEMP_PERSONNELREQ
TEMP_PDE;TEMP_PDE
TEMP_OHNE_STOP;TEMP_WO_STOP
TEMP_MATERIALLISTE;TEMP_MATERIALLIST
TEMP_FERTIGUNGS;TEMP_PRODUCTION
TEMPDRUCK;TEMPPRINT
TEMP2_MINDATUMZEIT;TEMP2_MINDATETIME
TEMP2_MAXDATUMZEIT;TEMP2_MAXDATEIME
TEMP2;TEMP2
TEMP1_MINDATUMZEIT;TEMP1_MINDATETIME
TEMP1_MAXDATUMZEIT;TEMP1_MAXDATETIME
TEMP1;TEMP1
TELEGRAMM;TELEGR
TEILEGEWICHT;PARTWEIGHT
TEIL;PIECE
TAKT_VERGLEICH_TOLERANZ;CYCLE_COMPARE_TOLERANCE
TAKT_PRO_STUECK;CYCLE_PER_PIECE
TAKT_DOPPELMASCHINE;CYCLE_DOUBLEMACHINE
TAKTZEIT_TOLERANZ;CYCLETIME_TOL
TAKTZEIT_STR;CYCLETIME_STR
TAKTZEIT_SOLL;CYCLETIME_STD
